INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,SAT_AVG,SAT_AVG_ALL
Alabama A & M University,Normal,AL,35762,34.783368,-86.568502,929,929
University of Alabama at Birmingham,Birmingham,AL,35294-0110,33.505697,-86.799345,1195,1195
University of Alabama in Huntsville,Huntsville,AL,35899,34.724557,-86.640449,1322,1322
Alabama State University,Montgomery,AL,36104-0271,32.364317,-86.295677,935,935
The University of Alabama,Tuscaloosa,AL,35487-0166,33.211875,-87.545978,1278,1278
Auburn University at Montgomery,Montgomery,AL,36117-3596,32.36736,-86.177544,1083,1083
Auburn University,Auburn,AL,36849,32.599378,-85.488258,1282,1282
Birmingham Southern College,Birmingham,AL,35254,33.513774,-86.850552,1231,1231
Faulkner University,Montgomery,AL,36109-3390,32.384181,-86.21641,1031,1031
Huntingdon College,Montgomery,AL,36106-2148,32.351034,-86.284366,1085,1085
Heritage Christian University,Florence,AL,35630-9977,34.856153,-87.663051,1030,1030
Jacksonville State University,Jacksonville,AL,36265,33.822938,-85.765321,1121,1121
Judson College,Marion,AL,36756,32.629253,-87.315206,1085,1085
University of West Alabama,Livingston,AL,35470,32.588132,-88.186329,1041,1041
Marion Military Institute,Marion,AL,36756-3207,32.623734,-87.322041,1138,1138
University of Mobile,Mobile,AL,36613-2842,30.793247,-88.128934,1113,1113
University of Montevallo,Montevallo,AL,35115-6000,33.10625,-86.865099,1143,1143
University of North Alabama,Florence,AL,35632-0001,34.806738,-87.681361,1104,1104
Oakwood University,Huntsville,AL,35896,34.756344,-86.652705,1005,1005
Samford University,Birmingham,AL,35229-2240,33.464128,-86.791799,1230,1230
University of South Alabama,Mobile,AL,36688-0002,30.696033,-88.178711,1142,1142
Spring Hill College,Mobile,AL,36608-1791,30.694751,-88.138199,1156,1156
Troy University,Troy,AL,36082-0001,31.800672,-85.957094,1085,1085
Tuskegee University,Tuskegee,AL,36088-1920,32.4309,-85.708492,1036,1036
University of Alaska Fairbanks,Fairbanks,AK,99775,64.85756,-147.823146,1094,1094
Thunderbird School of Global Management,Glendale,AZ,85306-6000,33.620887,-112.180861,NULL,1219
Arizona State University-Tempe,Tempe,AZ,85287,33.417721,-111.934383,1235,1219
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,34.616766,-112.449741,1245,1217
Ottawa University-Phoenix,Phoenix,AZ,85021,33.572173,-112.113001,NULL,1027
Prescott College,Prescott,AZ,86301,34.5452,-112.477185,1132,1132
Arizona Christian University,Phoenix,AZ,85032-7097,33.595117,-112.026211,956,956
University of Arkansas at Little Rock,Little Rock,AR,72204,34.723254,-92.339778,1105,1105
Lyon College,Batesville,AR,72501,35.777619,-91.625354,1202,1202
University of Arkansas,Fayetteville,AR,72701,36.070009,-94.176981,1239,1239
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,34.244031,-92.018683,951,951
Arkansas State University-Main Campus,Jonesboro,AR,72401,35.842388,-90.679988,1165,1165
Baptist Health College Little Rock,Little Rock,AR,72210-2827,34.713115,-92.40692,1125,1125
University of Central Arkansas,Conway,AR,72035-0001,35.077945,-92.457672,1175,1175
Central Baptist College,Conway,AR,72034,35.083838,-92.445021,1027,1027
Harding University,Searcy,AR,72149-5615,35.247337,-91.726041,1203,1203
Henderson State University,Arkadelphia,AR,71999-0001,34.128155,-93.059703,1102,1102
Hendrix College,Conway,AR,72032-3080,35.101565,-92.443256,1295,1295
John Brown University,Siloam Springs,AR,72761,36.189812,-94.560283,1256,1256
Ouachita Baptist University,Arkadelphia,AR,71998-0001,34.126093,-93.052471,1186,1186
University of the Ozarks,Clarksville,AR,72830,35.476278,-93.467221,1047,1047
Williams Baptist University,Walnut Ridge,AR,72476,36.125676,-90.940277,1030,1030
Southern Arkansas University Main Campus,Magnolia,AR,71753,33.291618,-93.235922,1102,1102
Azusa Pacific University,Azusa,CA,91702-7000,34.130047,-117.888375,1131,1131
Biola University,La Mirada,CA,90639-0001,33.906203,-118.014374,1186,1186
California Baptist University,Riverside,CA,92504-3297,33.929321,-117.425619,1092,1092
California Institute of Technology,Pasadena,CA,91125,34.137349,-118.125878,1558,1558
California Lutheran University,Thousand Oaks,CA,91360-2787,34.224566,-118.878924,1158,1158
