University,CITY,State,ZIP,LATITUDE,LONGITUDE,SAT_AVG_ALL,Total_EMP,Median_income,AVG_income
James Madison University,Harrisonburg,VA,22807,38.436311,-78.870484,1194,63830,33500,42010
Youngstown State University,Youngstown,OH,44555-0001,41.104928,-80.64659,1104,214000,32690,42070
Florida Southern College,Lakeland,FL,33801-5698,28.032443,-81.948203,1218,219840,33210,42090
Southeastern University,Lakeland,FL,33801-6034,28.029733,-81.918382,1063,219840,33210,42090
Florida Polytechnic University,Lakeland,FL,33805-8531,28.150149,-81.845995,1272,219840,33210,42090
Manhattan Christian College,Manhattan,KS,66502-4801,39.184806,-96.579383,1079,37700,31960,42140
College of Coastal Georgia,Brunswick,GA,31520-3644,31.182745,-81.485973,937,41950,30880,42280
Marshall University,Huntington,WV,25755,38.422482,-82.428964,1099,130750,32770,42290
Wheeling Jesuit University,Wheeling,WV,26003,40.070873,-80.690804,1063,61610,32510,42480
The University of West Florida,Pensacola,FL,32514-5750,30.549076,-87.218511,1185,174380,33120,42490
Shorter University,Rome,GA,30165,34.257543,-85.196529,1017,37570,31740,42500
Shorter University-College of Adult & Professional Programs,Rome,GA,30165,34.257543,-85.196529,1017,37570,31740,42500
Alabama State University,Montgomery,AL,36104-0271,32.364317,-86.295677,935,164030,33670,42510
Auburn University at Montgomery,Montgomery,AL,36117-3596,32.36736,-86.177544,1083,164030,33670,42510
Faulkner University,Montgomery,AL,36109-3390,32.384181,-86.21641,1031,164030,33670,42510
Huntingdon College,Montgomery,AL,36106-2148,32.351034,-86.284366,1085,164030,33670,42510
Troy University-Montgomery Campus,Montgomery,AL,361034419,,,1085,164030,33670,42510
The University of Montana,Missoula,MT,59812,46.859312,-113.982912,1165,60130,33470,42580
The University of Montana - Missoula College,Missoula,MT,59802,,,1165,60130,33470,42580
Morningside College,Sioux City,IA,51106-1751,42.473891,-96.359464,1125,84330,35150,42630
Aultman College of Nursing and Health Sciences,Canton,OH,44710-1797,40.796186,-81.404053,1085,169950,33610,42650
Kent State University at Stark,Canton,OH,44720-7599,40.868568,-81.43731,1142,169950,33610,42650
Malone University,Canton,OH,44709-3308,40.825662,-81.376863,1082,169950,33610,42650
LeTourneau University,Longview,TX,75602,32.46632,-94.726394,1190,91920,33740,42730
East Tennessee State University,Johnson City,TN,37614,36.301643,-82.366954,1122,77020,31980,42740
Fayetteville State University,Fayetteville,NC,28301-4298,35.073641,-78.891696,955,128940,33620,42750
Methodist University,Fayetteville,NC,28311-1420,35.135058,-78.874426,1050,128940,33620,42750
Haskell Indian Nations University,Lawrence,KS,66046-4800,38.938834,-95.232879,950,49350,32670,42780
University of Kansas,Lawrence,KS,66045,38.958549,-95.247567,1230,49350,32670,42780
Liberty University,Lynchburg,VA,24515,37.350232,-79.18222,1157,100420,32990,42780
University of Lynchburg,Lynchburg,VA,24501-3113,37.399774,-79.181653,1089,100420,32990,42780
Randolph College,Lynchburg,VA,24503-1555,37.437315,-79.171887,1079,100420,32990,42780
Brenau University,Gainesville,GA,30501-3668,34.303117,-83.821513,1004,87810,32310,42820
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,34.616766,-112.449741,1217,63710,33700,42860
Prescott College,Prescott,AZ,86301,34.5452,-112.477185,1132,63710,33700,42860
Marywood University,Scranton,PA,18509-1598,41.434587,-75.634142,1033,259670,34670,43010
University of Scranton,Scranton,PA,18510-4699,41.406556,-75.656915,1198,259670,34670,43010
University of North Carolina at Asheville,Asheville,NC,28804-8510,35.617068,-82.565392,1191,194660,33400,43070
Mary Baldwin University,Staunton,VA,24401,38.153884,-79.069273,1093,47920,35750,43090
Jackson State University,Jackson,MS,39217,32.296105,-90.207405,990,262380,33140,43180
Millsaps College,Jackson,MS,39210-0001,32.322746,-90.179957,1215,262380,33140,43180
The University of Texas at Tyler,Tyler,TX,75799-6699,32.315772,-95.254337,1160,101740,32880,43180
University of Mississippi Medical Center,Jackson,MS,392164505,,,1225,262380,33140,43180
Lycoming College,Williamsport,PA,17701-5192,41.24666,-77,1105,52030,34480,43260
Southern Illinois University-Carbondale,Carbondale,IL,62901-4512,37.714193,-89.217273,1143,52290,33220,43320
University of North Carolina Wilmington,Wilmington,NC,28403-5963,34.225223,-77.875527,1225,127910,33860,43550
Baylor University,Waco,TX,76798,31.546872,-97.121041,1320,116430,33050,43560
Lubbock Christian University,Lubbock,TX,79407-2099,33.575973,-101.934426,1091,142240,32770,43660
Texas Tech University,Lubbock,TX,79409-5005,33.583448,-101.874783,1176,142240,32770,43660
University of Wisconsin-Eau Claire,Eau Claire,WI,54701,44.798284,-91.501906,1165,82940,35450,43830
University of Evansville,Evansville,IN,47722,37.971549,-87.531644,1187,156570,34710,43840
University of Southern Indiana,Evansville,IN,47712,37.962374,-87.677214,1084,156570,34710,43840
Lewis-Clark State College,Lewiston,ID,83501-2698,46.412199,-117.024875,1013,26660,36670,43860
Converse College,Spartanburg,SC,29302-0006,34.955534,-81.917881,1112,153660,35390,43860
University of South Carolina-Upstate,Spartanburg,SC,29303-4999,34.996403,-81.970583,1010,153660,35390,43860
Spartanburg Methodist College,Spartanburg,SC,29301-5899,34.955117,-81.970863,919,153660,35390,43860
Wofford College,Spartanburg,SC,29303-3663,34.959411,-81.933568,1312,153660,35390,43860
Purdue University - Purdue Polytechnic Columbus,Columbus,IN,47203,,,1293,50850,36150,43880
The University of Tennessee-Chattanooga,Chattanooga,TN,37403-2598,35.047519,-85.300247,1164,246180,34420,43890
Maine College of Health Professions,Lewiston,ME,4240,44.100458,-70.21732,920,48540,35210,43960
Bob Jones University,Greenville,SC,29614-0001,34.874016,-82.365838,1146,413300,34420,43960
Furman,Greenville,SC,29613-6162,34.924676,-82.440458,1319,413300,34420,43960
Texas A & M University-Corpus Christi,Corpus Christi,TX,78412-5503,27.713723,-97.32395,983,187540,34120,43960
Wilson College,Chambersburg,PA,17201-1285,39.949659,-77.650712,1032,57840,36870,44000
Baker University School of Nursing,Topeka,KS,666041353,,,1137,109840,36700,44010
Virginia Polytechnic Institute and State University,Blacksburg,VA,24061-0131,37.229012,-80.423675,1284,70060,34680,44040
Ball State University,Muncie,IN,47306,40.203431,-85.409043,1138,45350,33170,44050
Ohio State University-Lima Campus,Lima,OH,45804,40.738521,-84.02384,1359,50390,35380,44150
Jefferson College of Health Sciences,Roanoke,VA,24013,37.265985,-79.939574,1058,153550,34870,44170
Hollins University,Roanoke,VA,24020,37.354201,-79.943277,1212,153550,34870,44170
Indiana University-Bloomington,Bloomington,IN,47405-7000,39.16609,-86.526559,1285,69160,34410,44390
Armstrong State University,Savannah,GA,31419-1997,31.979073,-81.161803,1054,175540,34290,44480
Savannah College of Art and Design,Savannah,GA,31402-3146,32.072963,-81.093849,1152,175540,34290,44480
Savannah State University,Savannah,GA,31404-5310,32.024781,-81.063377,933,175540,34290,44480
Friends University,Wichita,KS,67213,37.678459,-97.367048,1100,295970,35770,44500
Newman University,Wichita,KS,67213-2097,37.672643,-97.37768,1107,295970,35770,44500
Wichita State University,Wichita,KS,67260-0124,37.718882,-97.292361,1159,295970,35770,44500
University of Mobile,Mobile,AL,36613-2842,30.793247,-88.128934,1113,173190,35310,44570
University of South Alabama,Mobile,AL,36688-0002,30.696033,-88.178711,1142,173190,35310,44570
Spring Hill College,Mobile,AL,36608-1791,30.694751,-88.138199,1156,173190,35310,44570
Bennett College,Greensboro,NC,27401-3239,36.067531,-79.77998,851,361150,34900,44570
Greensboro College,Greensboro,NC,27401-1875,36.071082,-79.800232,1023,361150,34900,44570
North Carolina A & T State University,Greensboro,NC,27411,36.07282,-79.773375,1010,361150,34900,44570
University of North Carolina at Greensboro,Greensboro,NC,27402-6170,36.068236,-79.809414,1114,361150,34900,44570
Baptist Memorial College of Health Sciences,Memphis,TN,38104,35.138415,-90.027501,1155,623120,34550,44610
Christian Brothers University,Memphis,TN,38104,35.127437,-89.983241,1180,623120,34550,44610
Le Moyne-Owen College,Memphis,TN,38126-6595,35.118641,-90.034101,845,623120,34550,44610
Memphis College of Art,Memphis,TN,38104-2764,35.145929,-89.993761,1125,623120,34550,44610
University of Memphis,Memphis,TN,38152,35.118878,-89.938068,1106,623120,34550,44610
Rhodes College,Memphis,TN,38112-1690,35.154405,-89.990803,1362,623120,34550,44610
Visible Music College,Memphis,TN,38103,35.144586,-90.049381,984,623120,34550,44610
Harding School of Theology,Memphis,TN,381175499,,,1203,623120,34550,44610
Purdue University - Purdue Polytechnic Lafayette,Lafayette,IN,47903,,,1293,90720,35930,44620
Columbia International University,Columbia,SC,29203-1513,34.07551,-81.07443,1008,379770,35140,44680
Columbia College,Columbia,SC,29203,34.045581,-81.029967,1009,379770,35140,44680
University of South Carolina-Columbia,Columbia,SC,29208,33.996788,-81.026935,1266,379770,35140,44680
University of Charleston,Charleston,WV,25304,38.333367,-81.616244,1014,111600,34750,44680
Clarke University,Dubuque,IA,52001-3198,42.509475,-90.690487,1118,57760,36280,44850
University of Dubuque,Dubuque,IA,52001,42.49726,-90.693428,992,57760,36280,44850
Emmaus Bible College,Dubuque,IA,52001-3096,42.508307,-90.706011,1133,57760,36280,44850
Loras College,Dubuque,IA,52004-0178,42.503908,-90.679023,1144,57760,36280,44850
Augustana University,Sioux Falls,SD,57197-0001,43.525148,-96.736975,1245,155010,35410,44850
University of Sioux Falls,Sioux Falls,SD,57105-1699,43.531574,-96.738229,1124,155010,35410,44850
Dillard University,New Orleans,LA,70122,29.996587,-90.06464,1009,552720,34020,44860
Loyola University New Orleans,New Orleans,LA,70118-6143,29.936141,-90.120417,1203,552720,34020,44860
University of New Orleans,New Orleans,LA,70148,30.027704,-90.067142,1126,552720,34020,44860
University of Holy Cross,New Orleans,LA,70131-7399,29.912003,-89.99445,1030,552720,34020,44860
Southern University at New Orleans,New Orleans,LA,70126,30.026162,-90.044912,890,552720,34020,44860
Tulane University of Louisiana,New Orleans,LA,70118-5698,29.940069,-90.122144,1442,552720,34020,44860
Xavier University of Louisiana,New Orleans,LA,70125-1098,29.964162,-90.107307,1126,552720,34020,44860
Husson University,Bangor,ME,04401-2929,44.829002,-68.791476,1048,65080,34890,44860
University of Kentucky,Lexington,KY,40506-0032,38.038911,-84.504747,1213,272980,35940,44900
University of Central Florida,Orlando,FL,32816,28.602159,-81.200889,1249,1257240,33150,44930
AdventHealth University,Orlando,FL,32803,28.576142,-81.367687,1019,1257240,33150,44930
Barry University Law School,Orlando,FL,328073673,,,970,1257240,33150,44930
Rockford University,Rockford,IL,61108-2311,42.270639,-89.019536,1059,148810,35820,44960
Lancaster Bible College,Lancaster,PA,17601-5036,40.075347,-76.287761,1070,245480,36380,44960
Paine College,Augusta,GA,30901-3182,33.469545,-81.993225,850,223380,34240,44980
Augusta University,Augusta,GA,30912,33.47037,-81.989071,1006,223380,34240,44980
University of Arkansas at Little Rock,Little Rock,AR,72204,34.723254,-92.339778,1105,346430,35140,45020
Baptist Health College Little Rock,Little Rock,AR,72210-2827,34.713115,-92.40692,1125,346430,35140,45020
McNeese State University,Lake Charles,LA,70605,30.178187,-93.217222,1124,115950,37430,45030
Delaware State University,Dover,DE,19901,39.187173,-75.54053,918,63240,36060,45120
Wesley College,Dover,DE,19901-3875,39.163182,-75.527716,903,63240,36060,45120
Johnson University,Knoxville,TN,37998,35.937193,-83.750273,1073,383890,34640,45130
The University of Tennessee-Knoxville,Knoxville,TN,37996,35.952082,-83.925852,1280,383890,34640,45130
Colorado State University-Pueblo,Pueblo,CO,81001-4901,38.30859,-104.579033,1043,59980,36000,45200
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,70803-2750,30.414986,-91.178921,1226,395570,36500,45200
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,70808,30.401379,-91.110587,1085,395570,36500,45200
Southern University and A & M College,Baton Rouge,LA,70813,30.524558,-91.190105,988,395570,36500,45200
Southern University Law Center,Baton Rouge,LA,70813,30.523898,-91.194417,988,395570,36500,45200
Southeastern Louisiana University - EBR Parish School System Prof Dev,Baton Rouge,LA,708145322,,,1085,395570,36500,45200
East Carolina University,Greenville,NC,27858-4353,35.607186,-77.368291,1105,76580,34070,45230
Purdue University Fort Wayne,Fort Wayne,IN,46805-1499,41.117278,-85.108962,1074,216170,35950,45280
Indiana Institute of Technology,Fort Wayne,IN,46803-1228,41.078365,-85.116479,1034,216170,35950,45280
University of Saint Francis-Fort Wayne,Fort Wayne,IN,46808-3994,41.087205,-85.177246,1062,216170,35950,45280
Trine University-Regional/Non-Traditional Campuses,Fort Wayne,IN,46825,41.172352,-85.106453,1128,216170,35950,45280
Indiana University-Kokomo,Kokomo,IN,46902-9003,40.460062,-86.132048,1030,39560,37920,45300
Purdue University - Purdue Polytechnic Kokomo,Kokomo,IN,46904,,,1293,39560,37920,45300
Florida Agricultural and Mechanical University,Tallahassee,FL,32307,30.428504,-84.290226,1044,172810,35510,45340
Florida State University,Tallahassee,FL,32306-1037,30.440756,-84.291921,1304,172810,35510,45340
Flagler College-Tallahassee,Tallahassee,FL,32304,30.443866,-84.339,1093,172810,35510,45340
Millikin University,Decatur,IL,62522-2084,39.842612,-88.976298,1127,50200,35510,45450
University of Toledo,Toledo,OH,43606-3390,41.660572,-83.614714,1142,296160,36040,45520
Bellin College,Green Bay,WI,54311,44.468277,-87.921722,1195,174270,37840,45570
University of Wisconsin-Green Bay,Green Bay,WI,54311-7001,44.532298,-87.919973,1125,174270,37840,45570
Indiana University-South Bend,South Bend,IN,46615-7111,41.665324,-86.221991,1035,133210,35520,45580
Purdue University - Purdue Polytechnic South Bend,South Bend,IN,46634,,,1293,133210,35520,45580
University of Nevada-Las Vegas,Las Vegas,NV,89154,36.106047,-115.138462,1100,986850,34900,45600
Aquinas College,Grand Rapids,MI,49506-1801,42.96019,-85.628785,1143,567840,36050,45670
Calvin College,Grand Rapids,MI,49546,42.929916,-85.587548,1243,567840,36050,45670
Cornerstone University,Grand Rapids,MI,49525-5897,42.979966,-85.595328,1069,567840,36050,45670
Kuyper College,Grand Rapids,MI,49525-9781,43.02195,-85.592657,1092,567840,36050,45670
Compass College of Cinematic Arts,Grand Rapids,MI,49503,42.961875,-85.667065,1051,567840,36050,45670
University of Georgia,Athens,GA,30602,33.956262,-83.374039,1316,87980,33950,45810
University of North Dakota,Grand Forks,ND,58202-8193,47.921654,-97.071738,1165,49050,37430,45820
University of Florida,Gainesville,FL,32611,29.64629,-82.347911,1346,133130,35080,45920
University of Florida-Online,Gainesville,FL,32611,29.649413,-82.339848,1346,133130,35080,45920
Colorado Mesa University,Grand Junction,CO,81501-3122,39.080643,-108.553275,1066,61670,36160,46070
California State University-Chico,Chico,CA,95929-0150,39.729712,-121.844859,1088,81120,34730,46120
Viterbo University,La Crosse,WI,54601-8804,43.803133,-91.244297,1162,75440,36870,46120
University of Wisconsin-La Crosse,La Crosse,WI,54601-9959,43.81568,-91.23186,1185,75440,36870,46120
Oral Roberts University,Tulsa,OK,74171,36.049129,-95.952547,1133,433520,35890,46170
University of Tulsa,Tulsa,OK,74104-3189,36.152324,-95.945941,1335,433520,35890,46170
Marian University,Fond Du Lac,WI,54935-4699,43.777411,-88.420638,1010,45000,38520,46180
Bethany Lutheran College,Mankato,MN,56001,44.166649,-93.990805,1126,52630,37520,46190
Minnesota State University-Mankato,Mankato,MN,56001,44.146712,-93.99945,1105,52630,37520,46190
Charleston Southern University,Charleston,SC,29406-9121,32.983047,-80.072587,1061,347760,36240,46200
College of Charleston,Charleston,SC,29424-0001,32.784225,-79.939794,1176,347760,36240,46200
Citadel Military College of South Carolina,Charleston,SC,29409,32.797183,-79.958775,1123,347760,36240,46200
Bloomsburg University of Pennsylvania,Bloomsburg,PA,17815,41.00782,-76.447844,1063,40670,36850,46250
University of Missouri-Columbia,Columbia,MO,65211-1050,38.94531,-92.328843,1249,94210,35070,46260
Stephens College,Columbia,MO,65215,38.95204,-92.319204,1099,94210,35070,46260
St. John's College,Santa Fe,NM,87505-4599,35.666974,-105.912478,1283,61590,36700,46260
Kettering University,Flint,MI,48504-6214,43.012468,-83.71282,1270,137420,34830,46300
University of Michigan-Flint,Flint,MI,48502-1950,43.01875,-83.690276,1092,137420,34830,46300
SUNY Polytechnic Institute,Utica,NY,13502,43.137701,-75.229841,1150,124550,36290,46340
Shenandoah University,Winchester,VA,22601-5195,39.167355,-78.157433,1115,58840,36340,46380
Lawrence University,Appleton,WI,54911,44.261323,-88.397822,1343,122160,38010,46380
University of Wisconsin-Oshkosh,Oshkosh,WI,54901,44.026206,-88.549369,1105,93090,39030,46380
University of Arkansas,Fayetteville,AR,72701,36.070009,-94.176981,1239,244900,34300,46470
West Virginia University,Morgantown,WV,26506,39.634371,-79.954391,1159,66230,35720,46470
University of the Incarnate Word,San Antonio,TX,78209,29.46708,-98.46583,1028,1011640,35240,46650
Our Lady of the Lake University,San Antonio,TX,78207-4689,29.426194,-98.54365,1000,1011640,35240,46650
St. Mary's University,San Antonio,TX,78228,29.453244,-98.562778,1139,1011640,35240,46650
The University of Texas at San Antonio,San Antonio,TX,78249-1644,29.583709,-98.620657,1122,1011640,35240,46650
Trinity University,San Antonio,TX,78212-7200,29.462682,-98.48186,1353,1011640,35240,46650
Texas A&M University-San Antonio,San Antonio,TX,78224,29.304762,-98.52417,981,1011640,35240,46650
Bryan College of Health Sciences,Lincoln,NE,68506,40.796768,-96.651532,1125,179040,37960,46800
Nebraska Wesleyan University,Lincoln,NE,68504-2794,40.839098,-96.64831,1213,179040,37960,46800
University of Nebraska-Lincoln,Lincoln,NE,68588,40.817598,-96.700508,1235,179040,37960,46800
Union College,Lincoln,NE,68506,40.774778,-96.651095,1112,179040,37960,46800
Doane University-Graduate and Professional Studies,Lincoln,NE,68504,40.815541,-96.650758,1125,179040,37960,46800
University of New Mexico-Main Campus,Albuquerque,NM,87106,35.083868,-106.620155,1103,386050,34930,46860
The University of Texas of the Permian Basin,Odessa,TX,79762-0001,31.889509,-102.329634,1025,76540,39130,46860
Rocky Mountain College,Billings,MT,59102-1796,45.796522,-108.554075,1099,85410,36980,46870
Edward Waters College,Jacksonville,FL,32209,30.34479,-81.684879,885,686520,35790,46920
Jacksonville University,Jacksonville,FL,32211-3394,30.353227,-81.60458,1147,686520,35790,46920
University of North Florida,Jacksonville,FL,32224-7699,30.27194,-81.509144,1176,686520,35790,46920
Trinity Baptist College,Jacksonville,FL,32221,30.311171,-81.79626,933,686520,35790,46920
Pennsylvania State University-Penn State York,York,PA,17403-3326,39.952327,-76.702835,1189,181110,37480,46930
York College of Pennsylvania,York,PA,17403-3651,39.94614,-76.727984,1101,181110,37480,46930
Kalamazoo College,Kalamazoo,MI,49006-3295,42.290789,-85.601857,1306,141750,35900,47060
Western Michigan University,Kalamazoo,MI,49008-5200,42.282194,-85.613759,1103,141750,35900,47060
University of Minnesota-Duluth,Duluth,MN,55812,46.817126,-92.084385,1185,127660,38020,47080
The College of Saint Scholastica,Duluth,MN,55811-4199,46.816082,-92.106134,1141,127660,38020,47080
University of Oklahoma-Health Sciences Center,Oklahoma City,OK,73117-1221,35.47928,-97.496289,1254,617190,36500,47120
Oklahoma City University,Oklahoma City,OK,73106-1402,35.495271,-97.541242,1219,617190,36500,47120
Saint Ambrose University,Davenport,IA,52803-2898,41.54065,-90.579854,1165,182780,36480,47220
University of California-Merced,Merced,CA,95343-5603,37.366237,-120.424944,1114,72510,35150,47260
Northwest Christian University,Eugene,OR,97401-3745,44.047483,-123.079754,1028,157150,36740,47320
University of Oregon,Eugene,OR,97403,44.045146,-123.075792,1193,157150,36740,47320
California State University-Fresno,Fresno,CA,93740,36.811154,-119.744569,1004,376720,34390,47340
Fresno Pacific University,Fresno,CA,93702-4709,36.726831,-119.735199,1050,376720,34390,47340
University of Nevada-Reno,Reno,NV,89557,39.543642,-119.815377,1165,233140,36440,47380
University of Alabama at Birmingham,Birmingham,AL,35294-0110,33.505697,-86.799345,1195,510560,37050,47480
Birmingham Southern College,Birmingham,AL,35254,33.513774,-86.850552,1231,510560,37050,47480
Samford University,Birmingham,AL,35229-2240,33.464128,-86.791799,1230,510560,37050,47480
Cedar Crest College,Allentown,PA,18104-6196,40.586318,-75.519221,1069,363230,37260,47580
Muhlenberg College,Allentown,PA,18104,40.596416,-75.508502,1270,363230,37260,47580
Brigham Young University-Provo,Provo,UT,84602,40.250851,-111.649281,1364,243520,34920,47610
Arizona State University at Tucson,Tucson,AZ,857454284,,,1219,369480,35430,47610
University of South Florida-Main Campus,Tampa,FL,33620-9951,28.061458,-82.413232,1234,1312680,35910,47750
The University of Tampa,Tampa,FL,33606-1490,27.948455,-82.46483,1171,1312680,35910,47750
Texas A & M University-College Station,College Station,TX,77843-1248,30.618726,-96.336475,1277,114040,35520,47930
University of Northern Colorado,Greeley,CO,80639,40.410855,-104.692777,1107,103410,39370,47950
Barry University,Miami,FL,33161-6695,25.878908,-80.198925,970,2590260,35780,48240
Florida International University,Miami,FL,33199,25.75732,-80.373928,1172,2590260,35780,48240
Trinity International University-Florida,Miami,FL,33186,25.68307,-80.417646,1129,2590260,35780,48240
Belmont University,Nashville,TN,37212-3757,36.135589,-86.794807,1256,968600,37680,48370
Lipscomb University,Nashville,TN,37204-3951,36.106253,-86.799791,1239,968600,37680,48370
Fisk University,Nashville,TN,37208-4501,36.167087,-86.804805,1014,968600,37680,48370
Trevecca Nazarene University,Nashville,TN,37210,36.141324,-86.754238,1121,968600,37680,48370
Vanderbilt University,Nashville,TN,37240,36.14659,-86.803369,1515,968600,37680,48370
